"","CustomerID","Age","Gender","StoreLocation","ProductCategory","TotalPurchase","NumberOfVisits","FeedbackScore"
"1","1","32","M","West","Electronics","528","4","1"
"2","2","37","F","South","Books","72","4","5"
"3","3","63","M","West","Electronics","327","4","2"
"4","4","41","M","North","Sports","391","7","1"
"5","5","42","F","East","Electronics","514","7","5"
"6","6","66","F","East","Sports","381","6","3"
"7","7","47","M","East","Sports","510","5","1"
"8","8","21","F","South","Clothing","102","4","2"
"9","9","30","F","North","Sports","559","2","2"
"10","10","33","M","South","Books","27","5","2"
"11","11","58","F","East","Clothing","40","3","5"
"12","12","45","M","North","Electronics","217","6","5"
"13","13","46","F","South","Home","118","4","4"
"14","14","42","F","North","Sports","532","6","3"
"15","15","32","F","South","Books","25","3","3"
"16","16","67","F","South","Home","87","4","1"
"17","17","47","M","West","Home","77","7","3"
"18","18","18","F","East","Books","80","7","3"
"19","19","51","F","South","Electronics","209","2","1"
"20","20","33","F","South","Electronics","232","7","4"
"21","21","24","M","South","Books","23","3","4"
"22","22","37","M","South","Sports","444","5","3"
"23","23","25","M","South","Home","127","5","3"
"24","24","29","F","West","Clothing","90","5","3"
"25","25","31","M","West","Electronics","165","6","1"
"26","26","18","M","East","Books","77","5","5"
"27","27","53","F","North","Books","52","10","4"
"28","28","42","F","North","Books","91","10","3"
"29","29","23","F","East","Sports","390","4","5"
"30","30","59","M","East","Clothing","127","5","1"
"31","31","46","M","East","Clothing","81","4","5"
"32","32","36","M","West","Sports","514","5","1"
"33","33","53","F","East","Home","101","3","1"
"34","34","53","M","South","Books","68","1","3"
"35","35","52","F","North","Sports","471","2","5"
"36","36","50","M","North","Sports","621","2","5"
"37","37","48","F","East","Electronics","327","6","3"
"38","38","39","F","South","Home","107","5","5"
"39","39","35","F","West","Home","132","7","4"
"40","40","34","F","West","Electronics","1128","5","4"
"41","41","30","F","South","Electronics","247","3","4"
"42","42","37","M","West","Electronics","382","5","3"
"43","43","21","M","East","Home","117","8","4"
"44","44","70","F","West","Home","81","7","5"
"45","45","58","M","West","Books","97","5","4"
"46","46","23","M","North","Clothing","66","4","2"
"47","47","34","M","East","Clothing","158","6","4"
"48","48","33","F","West","Books","27","7","3"
"49","49","52","F","East","Clothing","80","8","1"
"50","50","39","M","West","Electronics","104","3","3"
"51","51","44","M","North","Sports","554","4","5"
"52","52","40","F","North","Home","33","3","5"
"53","53","39","F","East","Sports","532","7","2"
"54","54","61","F","East","Electronics","374","3","3"
"55","55","37","F","West","Clothing","77","7","3"
"56","56","63","M","South","Books","33","6","1"
"57","57","18","M","South","Books","82","8","2"
"58","58","49","M","West","Electronics","144","5","4"
"59","59","42","F","East","Home","37","8","3"
"60","60","43","F","South","Electronics","270","7","4"
"61","61","46","M","East","Books","61","7","2"
"62","62","32","F","East","Sports","553","4","4"
"63","63","35","F","South","Books","95","3","4"
"64","64","25","F","East","Home","101","4","2"
"65","65","24","M","East","Home","82","6","1"
"66","66","45","F","North","Books","86","4","1"
"67","67","47","F","East","Sports","451","4","5"
"68","68","41","M","North","Sports","417","2","1"
"69","69","54","F","South","Clothing","83","5","5"
"70","70","70","M","West","Home","74","3","4"
"71","71","33","F","West","Home","76","7","1"
"72","72","18","M","North","Electronics","384","2","1"
"73","73","55","F","East","Sports","417","6","3"
"74","74","29","M","East","Clothing","51","7","5"
"75","75","30","M","South","Sports","574","2","5"
"76","76","55","F","West","Books","82","4","1"
"77","77","36","M","West","Clothing","65","6","1"
"78","78","22","F","South","Home","139","6","3"
"79","79","43","F","North","Sports","355","4","1"
"80","80","38","M","South","Sports","548","8","1"
"81","81","40","F","East","Clothing","34","4","3"
"82","82","46","M","East","Clothing","151","4","3"
"83","83","34","F","East","Books","68","4","2"
"84","84","50","M","South","Clothing","39","5","1"
"85","85","37","M","North","Electronics","98","5","5"
"86","86","45","F","South","Books","37","2","4"
"87","87","56","F","West","Electronics","654","6","5"
"88","88","47","M","East","Home","80","3","2"
"89","89","35","F","South","Clothing","89","6","5"
"90","90","57","M","East","Home","41","5","1"
"91","91","55","M","West","Clothing","59","6","3"
"92","92","48","F","East","Clothing","105","5","1"
"93","93","44","F","North","Sports","601","4","1"
"94","94","31","M","South","Clothing","44","3","5"
"95","95","60","F","South","Sports","471","5","2"
"96","96","31","M","South","Sports","540","11","1"
"97","97","70","F","West","Electronics","186","4","2"
"98","98","63","F","West","Electronics","256","4","3"
"99","99","36","M","South","Home","27","2","1"
"100","100","25","M","West","Electronics","92","5","5"
"101","101","29","F","South","Home","71","5","2"
"102","102","44","F","North","Electronics","173","6","2"
"103","103","36","F","North","Clothing","91","9","1"
"104","104","35","F","East","Electronics","400","5","3"
"105","105","26","F","West","Sports","427","2","1"
"106","106","39","F","North","Sports","400","4","4"
"107","107","28","M","East","Books","25","7","1"
"108","108","18","M","East","Clothing","32","7","4"
"109","109","34","M","South","Books","85","7","2"
"110","110","54","F","West","Sports","468","8","3"
"111","111","31","F","East","Electronics","87","6","3"
"112","112","49","F","South","Sports","491","5","5"
"113","113","18","M","North","Books","66","3","1"
"114","114","39","F","West","Clothing","33","6","3"
"115","115","48","M","North","Home","107","2","1"
"116","116","45","F","West","Clothing","476","5","4"
"117","117","42","F","West","Electronics","226","8","3"
"118","118","30","M","South","Clothing","62","7","1"
"119","119","27","F","North","Sports","542","6","3"
"120","120","25","M","East","Sports","339","3","1"
"121","121","42","F","South","Clothing","37","5","3"
"122","122","26","F","West","Clothing","19","10","4"
"123","123","33","F","West","Books","34","5","1"
"124","124","36","F","West","Home","110","4","1"
"125","125","68","M","South","Clothing","107","2","2"
"126","126","30","M","East","Sports","529","2","5"
"127","127","44","M","North","Electronics","156","7","2"
"128","128","41","F","West","Home","75","4","5"
"129","129","26","M","North","Sports","458","8","3"
"130","130","39","F","South","Clothing","78","5","2"
"131","131","62","M","East","Electronics","517","5","4"
"132","132","47","M","North","Books","30","8","5"
"133","133","41","F","North","Books","78","3","1"
"134","134","34","M","East","Sports","448","7","5"
"135","135","18","F","East","Electronics","373","4","1"
"136","136","57","M","South","Clothing","52","5","1"
"137","137","18","F","West","Sports","609","4","2"
"138","138","51","M","North","Electronics","250","2","2"
"139","139","69","M","West","Electronics","282","6","1"
"140","140","18","F","East","Clothing","66","3","3"
"141","141","51","M","East","Clothing","116","6","1"
"142","142","36","F","East","Books","30","5","2"
"143","143","18","M","West","Sports","525","3","3"
"144","144","18","F","North","Clothing","105","11","1"
"145","145","18","M","East","Clothing","78","5","1"
"146","146","32","M","East","Home","43","2","2"
"147","147","18","F","North","Electronics","136","8","4"
"148","148","50","M","South","Sports","567","7","5"
"149","149","70","M","North","Clothing","33","5","1"
"150","150","21","F","South","Clothing","160","4","5"
"151","151","52","F","West","Books","30","7","2"
"152","152","52","F","South","Books","65","9","1"
"153","153","45","M","North","Books","30","7","4"
"154","154","25","M","East","Home","113","3","4"
"155","155","38","M","North","Home","141","9","3"
"156","156","36","M","South","Books","89","5","2"
"157","157","48","M","South","Books","33","1","4"
"158","158","34","M","North","Clothing","79","3","3"
"159","159","55","M","South","Home","29","1","3"
"160","160","34","F","North","Clothing","119","7","2"
"161","161","56","F","West","Clothing","135","6","1"
"162","162","24","M","North","Books","32","8","4"
"163","163","21","M","West","Home","164","4","5"
"164","164","70","F","South","Sports","426","9","5"
"165","165","34","M","South","Sports","514","7","5"
"166","166","44","M","West","Clothing","58","7","5"
"167","167","50","F","South","Clothing","81","5","2"
"168","168","33","M","West","Electronics","576","9","2"
"169","169","48","M","South","Sports","424","5","5"
"170","170","46","M","West","Home","60","8","3"
"171","171","37","M","East","Sports","480","4","1"
"172","172","41","M","North","Home","97","5","2"
"173","173","39","M","West","Electronics","225","8","2"
"174","174","70","F","North","Clothing","11","6","5"
"175","175","29","M","North","Books","32","1","5"
"176","176","24","M","West","Sports","597","3","1"
"177","177","41","F","North","Home","127","5","1"
"178","178","45","F","East","Home","38","4","2"
"179","179","47","M","West","Home","129","11","2"
"180","180","33","F","South","Books","76","7","2"
"181","181","24","M","North","Sports","546","4","3"
"182","182","59","M","North","Sports","338","6","3"
"183","183","35","M","East","Clothing","83","8","5"
"184","184","27","F","East","Clothing","300","6","1"
"185","185","36","M","North","Clothing","66","6","3"
"186","186","37","F","North","Clothing","53","3","2"
"187","187","57","F","West","Clothing","98","5","5"
"188","188","41","M","South","Sports","472","4","1"
"189","189","51","M","West","Electronics","367","5","3"
"190","190","33","M","West","Electronics","385","3","2"
"191","191","43","M","East","Electronics","245","4","4"
"192","192","35","F","West","Electronics","136","6","1"
"193","193","41","M","North","Sports","368","5","1"
"194","194","27","F","West","Electronics","182","3","3"
"195","195","20","F","North","Clothing","126","4","2"
"196","196","70","M","East","Sports","304","6","1"
"197","197","49","M","North","Books","29","5","2"
"198","198","21","F","West","Books","32","3","3"
"199","199","31","M","South","Sports","409","2","2"
"200","200","22","F","South","Books","83","9","4"